Feature,Importance,MI_Score,Chi2_Score,Importance_Normalized,MI_Score_Normalized,Chi2_Score_Normalized,Average_Importance
ALLERGY ,0.08815725060270523,0.10147333179534601,14.458210258655722,0.39850479568307084,1.0,1.0,0.7995015985610237
SWALLOWING DIFFICULTY,0.058804730197704644,0.08016006832334943,10.832520995259872,0.26582007529072477,0.7899619230500708,0.749229731859429,0.6016705767334082
ALCOHOL CONSUMING,0.07164680763149549,0.021420448429522176,11.204127986925407,0.32387122149720543,0.21109436391350075,0.7749318751411719,0.436632486850626
COUGHING,0.05144870841816382,0.046678139666328944,7.896015542234444,0.2325680179017415,0.4600040113048678,0.5461267612640591,0.4128995968235561
AGE_NORMALIZED,0.2212200494390444,0.006813928216489407,0.05947668064840152,1.0,0.06714994073745316,0.004113695926699815,0.357087878888051
WHEEZING,0.05194989716247786,0.01304703005979535,8.364347908011153,0.23483358445226402,0.12857595024187174,0.578518900913317,0.31397614520248424
PEER_PRESSURE,0.06340459560749788,0.024348768117262276,5.245443334506521,0.28661324219154266,0.23995238637053418,0.36280032180097965,0.2964553167876855
CHEST PAIN,0.045065731079942904,0.009536576931088447,4.8814944011700065,0.20371449691932395,0.09398111565235738,0.33762784700461757,0.21177448652543296
GENDER,0.0418160871607268,0.03663883949644697,0.6524542686636084,0.18902485225349758,0.36106865565763735,0.04512690415973184,0.19840680402362224
YELLOW_FINGERS,0.0638952593077307,0.0,4.298087243533664,0.28883123148083634,0.0,0.2972765761903705,0.19536926922373563
FATIGUE ,0.05684976525743606,0.013085961266344093,2.2593716861564634,0.25698287927153096,0.12895960973013276,0.1562691125482728,0.18073720051664552
ANXIETY,0.057520241470791836,2.5502297317681055e-05,3.192442897070825,0.26001369051606293,0.0002513201928671736,0.22080484651685015,0.16035661907526008
CHRONIC DISEASE,0.05619831611041178,0.009291891915464756,1.8448730573942695,0.2540380777100261,0.09156979228990804,0.12760037545378733,0.15773608181790716
SHORTNESS OF BREATH,0.038106310691276284,0.0016267888642298445,0.4032042462595954,0.17225523087940636,0.01603168867570835,0.02788756277895519,0.0720581607780233
SMOKING,0.033916249862594346,0.0,0.44897253943501625,0.1533145388430976,0.0,0.031053120089066976,0.06145588631072152
